i,j,k,nx,ny,nz 
0,0,0,9.551318e-03,-7.345247e-01,-6.785147e-01
0,0,1,-3.253060e-02,7.594112e-01,6.497971e-01
0,0,2,-1.827427e-01,8.695508e-01,4.587882e-01
0,0,3,-2.912894e-01,3.638705e-01,8.847309e-01
0,0,4,-7.151150e-01,-5.455255e-01,-4.370498e-01
0,0,5,2.904846e-01,8.373563e-01,4.630909e-01
0,0,6,-1.911935e-01,2.045110e-01,-9.600106e-01
0,0,7,3.192575e-01,6.083823e-01,7.265987e-01
0,0,8,9.504516e-02,3.895056e-01,9.161069e-01
0,0,9,-1.352735e-01,-4.977602e-01,-8.567005e-01
0,1,0,-2.627176e-01,7.843662e-01,5.619157e-01
0,1,1,4.406114e-01,8.054217e-01,3.964309e-01
0,1,2,2.262478e-01,9.736157e-01,2.973757e-02
0,1,3,2.788170e-01,-5.933120e-01,-7.551437e-01
0,1,4,-2.484610e-01,-6.546198e-01,-7.139608e-01
0,1,5,3.899888e-01,5.992012e-01,6.991900e-01
0,1,6,-7.301524e-02,-6.049475e-01,-7.929106e-01
0,1,7,1.025389e-01,-5.775689e-01,-8.098765e-01
0,1,8,-7.884235e-01,-4.929929e-01,-3.678945e-01
0,1,9,-5.014879e-01,-6.684519e-01,-5.492558e-01
0,2,0,3.070697e-01,-9.289551e-01,-2.067624e-01
0,2,1,-7.642093e-01,-3.594270e-01,-5.355337e-01
0,2,2,1.632673e-01,9.569093e-01,2.401425e-01
0,2,3,6.589370e-02,-9.928463e-01,9.957038e-02
0,2,4,4.824694e-01,7.773601e-01,4.036516e-01
0,2,5,-1.911628e-01,8.323332e-01,5.202675e-01
0,2,6,5.776006e-02,7.477423e-01,6.614720e-01
0,2,7,3.867046e-01,1.590890e-01,9.083778e-01
0,2,8,1.117691e-01,-8.984416e-01,-4.246298e-01
0,2,9,1.365477e-01,-9.850054e-01,-1.054469e-01
0,3,0,5.028490e-01,-8.638399e-01,-3.038875e-02
