i,j,k,nx,ny,nz 
0,0,0,-1.708479e-01,5.005472e-01,8.486834e-01
0,0,1,-7.481059e-02,3.097540e-01,9.478691e-01
0,0,2,7.487307e-02,-1.452956e-01,-9.865512e-01
0,0,3,-9.326424e-01,-2.171916e-01,2.881077e-01
0,0,4,-1.206517e-01,-4.528735e-01,8.833735e-01
0,0,5,5.894762e-01,6.278741e-01,5.082243e-01
0,0,6,-9.301438e-01,-3.669178e-01,1.427616e-02
0,0,7,-9.989729e-01,-2.404867e-02,3.840313e-02
0,0,8,-6.570589e-01,4.424711e-01,6.103220e-01
0,0,9,-3.404563e-01,5.945292e-01,7.284398e-01
0,1,0,8.235724e-01,-5.672033e-01,2.988187e-03
0,1,1,-3.291537e-01,-8.134767e-01,-4.794930e-01
0,1,2,4.051998e-01,3.765288e-03,9.142204e-01
0,1,3,2.160688e-02,3.367073e-01,9.413614e-01
0,1,4,-7.741586e-01,-1.013081e-01,-6.248320e-01
0,1,5,-6.946384e-01,-7.044015e-01,-1.459318e-01
0,1,6,-3.729109e-01,-9.270038e-01,4.001684e-02
0,1,7,-9.704438e-01,-2.318252e-01,-6.705114e-02
0,1,8,-2.597063e-01,-9.633477e-01,6.718517e-02
0,1,9,7.409503e-01,-6.520673e-01,-1.606266e-01
0,2,0,8.827186e-01,-2.414967e-01,4.030969e-01
0,2,1,-2.575480e-01,6.622077e-01,7.036690e-01
0,2,2,4.629475e-01,4.850931e-01,-7.418654e-01
0,2,3,2.122513e-01,-2.673196e-01,9.399413e-01
0,2,4,6.769963e-02,1.105629e-01,9.915607e-01
0,2,5,-9.650339e-01,-2.497151e-01,7.969916e-02
0,2,6,-9.002533e-01,-4.019387e-01,1.673003e-01
0,2,7,7.565683e-01,-6.442039e-01,1.122755e-01
0,2,8,-9.528187e-01,-1.350861e-01,-2.718240e-01
0,2,9,-8.008958e-01,2.466125e-01,-5.456631e-01
0,3,0,-5.568651e-01,3.118523e-01,7.698373e-01
0,3,1,8.645876e-02,-6.036217e-01,-7.925690e-01
0,3,2,-5.879066e-01,-4.733159e-01,6.560014e-01
0,3,3,-2.178299e-01,-4.815898e-01,8.488942e-01
0,3,4,4.750183e-01,-2.413659e-01,8.462270e-01
0,3,5,-8.059281e-01,-5.919504e-01,-8.643230e-03
0,3,6,2.415664e-01,5.423745e-01,-8.046586e-01
0,3,7,7.951042e-01,4.390568e-01,4.183760e-01
0,3,8,4.873528e-01,8.239499e-01,2.891258e-01
0,3,9,2.960392e-01,-8.434004e-03,-9.551386e-01
0,4,0,8.345212e-01,5.059221e-01,-2.182136e-01
0,4,1,2.188538e-01,-1.698640e-01,9.608586e-01
0,4,2,5.522200e-01,-8.318150e-01,-5.600753e-02
0,4,3,3.678243e-01,-6.197437e-01,6.932699e-01
0,4,4,2.627540e-01,-5.814281e-01,7.700011e-01
0,4,5,8.403636e-01,2.626415e-01,-4.741396e-01
0,4,6,-2.005458e-01,8.506778e-02,9.759840e-01
0,4,7,-9.391221e-02,-9.001101e-02,-9.915032e-01
0,4,8,7.786394e-02,2.594887e-01,-9.626021e-01
0,4,9,2.100304e-01,-9.384645e-02,9.731804e-01
0,5,0,-5.000623e-01,-4.885317e-02,-8.646103e-01
0,5,1,1.121168e-01,4.125352e-01,9.040158e-01
0,5,2,2.614264e-01,-9.651841e-01,8.713464e-03
0,5,3,3.569301e-01,-7.064650e-01,6.111530e-01
0,5,4,-4.983720e-01,5.352952e-01,-6.819709e-01
0,5,5,-6.775327e-02,-9.871337e-01,1.448325e-01
0,5,6,-9.459419e-02,1.996197e-01,9.752968e-01
0,5,7,9.585415e-02,6.849353e-01,7.222712e-01
0,5,8,-3.118960e-01,3.301063e-01,8.909269e-01
0,5,9,-2.961519e-01,1.714010e-01,-9.396360e-01
0,6,0,3.032238e-01,-2.311174e-01,9.244674e-01
0,6,1,3.964136e-01,-4.919433e-02,9.167531e-01
0,6,2,9.142247e-01,-1.857264e-01,3.601374e-01
0,6,3,6.140486e-01,-7.860235e-01,-7.149315e-02
0,6,4,-6.092165e-01,5.614461e-01,-5.600300e-01
0,6,5,-4.555757e-01,8.694645e-01,-1.910034e-01
0,6,6,-7.494791e-01,-4.924707e-01,4.424406e-01
0,6,7,8.438872e-01,-4.904116e-01,-2.176025e-01
0,6,8,1.916623e-01,4.268440e-01,8.837815e-01
0,6,9,-3.747826e-01,6.750495e-02,-9.246519e-01
0,7,0,-7.191500e-01,1.849659e-01,-6.697843e-01
0,7,1,-2.488474e-01,3.925224e-01,-8.854384e-01
0,7,2,7.312976e-01,4.860603e-01,-4.784863e-01
0,7,3,-3.324628e-01,7.756257e-01,-5.365382e-01
0,7,4,2.905623e-01,4.458122e-01,-8.466552e-01
0,7,5,-3.629663e-01,-9.040125e-01,2.258694e-01
0,7,6,-1.911424e-01,-9.604409e-01,2.025286e-01
0,7,7,-7.066793e-01,-5.694994e-01,4.198511e-01
0,7,8,-6.382438e-02,-9.788277e-01,-1.944806e-01
0,7,9,7.046227e-01,-6.906721e-01,1.627233e-01
0,8,0,-9.843760e-01,-1.647817e-01,6.205600e-02
0,8,1,9.836637e-01,-8.323512e-02,-1.596173e-01
0,8,2,-6.577225e-01,-4.579179e-01,5.980906e-01
0,8,3,-2.924203e-01,9.542597e-01,6.228031e-02
0,8,4,-1.635266e-01,4.826838e-01,8.603926e-01
0,8,5,5.757331e-01,6.510932e-01,4.945797e-01
0,8,6,-6.670582e-01,-7.377695e-01,1.035836e-01
0,8,7,-9.033354e-01,-4.286326e-01,-1.609835e-02
0,8,8,7.317766e-01,6.470516e-01,2.140728e-01
0,8,9,-9.257807e-01,-9.910191e-02,-3.648408e-01
0,9,0,9.432502e-01,2.859585e-01,1.688394e-01
0,9,1,-3.521695e-02,-6.324342e-01,7.738131e-01
0,9,2,8.137250e-02,-2.192783e-01,-9.722631e-01
0,9,3,1.074195e-01,1.505385e-01,9.827508e-01
0,9,4,8.971257e-01,2.551873e-01,-3.606174e-01
0,9,5,7.489505e-02,6.686817e-01,7.397672e-01
0,9,6,-7.825492e-01,-5.410143e-01,3.080912e-01
0,9,7,9.071385e-01,1.008517e-01,-4.085691e-01
0,9,8,9.157714e-01,2.199612e-01,-3.361247e-01
