i,j,k,nx,ny,nz 
0,0,0,9.240673e-01,1.236751e-01,-3.616684e-01
0,0,1,-3.179661e-01,5.756880e-01,7.533132e-01
0,0,2,5.957229e-01,2.206148e-01,-7.722974e-01
0,0,3,-9.442626e-01,-2.814030e-01,1.708230e-01
0,0,4,-7.703384e-01,3.658787e-01,5.222179e-01
0,0,5,5.603071e-01,-7.293014e-01,3.926519e-01
0,0,6,6.288899e-01,7.685242e-01,-1.177625e-01
0,0,7,7.388497e-01,-1.126809e-02,-6.737761e-01
0,0,8,5.357537e-01,6.019747e-01,-5.921101e-01
0,0,9,-6.915759e-01,-7.182553e-01,-7.636793e-02
0,1,0,1.376285e-01,8.425226e-01,-5.207821e-01
0,1,1,3.554309e-01,-5.824810e-01,7.310162e-01
0,1,2,1.554743e-01,9.808774e-01,-1.170778e-01
0,1,3,-1.760696e-01,-3.125217e-01,9.334504e-01
0,1,4,-8.397018e-01,-5.236409e-01,1.438787e-01
0,1,5,-8.944187e-01,-4.244589e-01,-1.408894e-01
0,1,6,3.106997e-01,2.653781e-01,9.127103e-01
0,1,7,1.032876e-01,7.133168e-02,-9.920905e-01
0,1,8,5.462673e-01,2.006727e-01,-8.132174e-01
0,1,9,-4.713313e-01,-5.893234e-01,6.561591e-01
0,2,0,-1.491550e-01,8.740402e-01,-4.623922e-01
0,2,1,-6.232119e-01,7.455419e-01,-2.361658e-01
0,2,2,-5.304809e-01,6.153481e-01,-5.830409e-01
0,2,3,4.491396e-04,-6.045689e-01,-7.965528e-01
0,2,4,-7.403845e-01,-4.454580e-01,5.033866e-01
0,2,5,8.194578e-01,5.583477e-01,1.293704e-01
0,2,6,-6.774380e-01,-4.383254e-01,-5.907187e-01
0,2,7,-5.166645e-01,1.094489e-01,8.491635e-01
0,2,8,-3.838864e-01,7.709013e-01,-5.082739e-01
0,2,9,6.032628e-01,3.709691e-01,-7.060141e-01
0,3,0,-1.561458e-01,7.182446e-01,-6.780436e-01
0,3,1,-5.191685e-01,8.484029e-01,1.033280e-01
0,3,2,-6.399104e-01,7.684300e-01,5.485468e-03
0,3,3,-9.459751e-02,-7.120074e-01,6.957706e-01
0,3,4,4.999483e-01,-8.055090e-01,3.181303e-01
0,3,5,1.430490e-01,9.891462e-01,3.356890e-02
0,3,6,-8.499740e-01,-8.782869e-02,-5.194519e-01
0,3,7,-9.623566e-01,2.624280e-01,-7.072066e-02
0,3,8,-8.271396e-01,-8.187686e-02,5.560003e-01
0,3,9,7.131793e-02,5.609470e-01,-8.247741e-01
0,4,0,6.324537e-01,6.697340e-01,-3.891769e-01
0,4,1,-6.478399e-01,-6.225862e-01,-4.389645e-01
