i,j,k,nx,ny,nz 
0,0,0,-1.886373e-01,-1.138466e-01,-9.754255e-01
0,0,1,2.183681e-01,-9.605788e-01,-1.720576e-01
0,0,2,-3.014374e-01,9.395053e-01,-1.626818e-01
0,0,3,-5.940716e-01,-5.776581e-01,5.598125e-01
0,0,4,6.513720e-02,9.968853e-01,-4.446178e-02
0,0,5,-3.926289e-01,-7.369418e-01,5.502357e-01
0,0,6,7.415331e-02,-8.654113e-01,4.955447e-01
0,0,7,2.387480e-01,5.618700e-01,-7.920237e-01
0,0,8,-2.932896e-02,-6.838991e-01,7.289868e-01
0,0,9,6.314271e-01,-5.144061e-01,5.802466e-01
0,1,0,2.667024e-01,-1.397455e-01,9.535938e-01
0,1,1,8.381621e-01,-4.290075e-01,3.368039e-01
0,1,2,-1.876465e-01,-8.069442e-01,-5.600266e-01
0,1,3,3.072687e-01,-7.854524e-01,-5.372620e-01
0,1,4,-5.754606e-01,7.823066e-01,2.384146e-01
0,1,5,4.057224e-01,-9.050166e-01,1.278055e-01
0,1,6,-4.227871e-01,8.035445e-01,4.190075e-01
0,1,7,-2.580761e-01,8.691403e-01,-4.218908e-01
0,1,8,1.483879e-01,-5.930069e-01,7.914063e-01
0,1,9,6.002117e-02,5.863538e-02,-9.964735e-01
0,2,0,-7.070320e-02,8.156391e-01,-5.742246e-01
0,2,1,-8.150354e-01,5.791353e-01,1.787862e-02
0,2,2,-1.805865e-01,9.515605e-01,-2.488396e-01
0,2,3,7.743660e-01,-6.252681e-01,9.693802e-02
0,2,4,-7.950420e-01,5.915421e-01,1.341125e-01
0,2,5,7.720765e-01,-6.232184e-01,-1.244862e-01
0,2,6,7.263955e-01,-6.750501e-01,-1.290616e-01
0,2,7,-2.953012e-01,-9.383364e-01,1.797831e-01
0,2,8,-3.028554e-01,8.729042e-01,3.825138e-01
0,2,9,2.545612e-01,9.606195e-01,1.113950e-01
0,3,0,-1.863167e-01,8.889032e-01,-4.184940e-01
0,3,1,-6.750193e-01,-7.222347e-01,-1.507513e-01
0,3,2,3.563470e-01,-9.298852e-01,-9.127015e-02
0,3,3,8.222266e-01,-5.565577e-01,-1.191090e-01
0,3,4,7.579266e-01,-5.486799e-01,3.528421e-01
0,3,5,8.711419e-01,-4.092705e-01,2.713105e-01
0,3,6,-3.567514e-01,9.154531e-01,-1.862095e-01
0,3,7,8.243641e-04,-9.736441e-01,-2.280713e-01
0,3,8,8.756879e-01,-4.827872e-01,9.344017e-03
0,3,9,-2.987611e-01,-9.236433e-01,2.400517e-01
0,4,0,-4.628284e-01,-6.735811e-01,5.762624e-01
0,4,1,3.832194e-01,9.232175e-01,2.850112e-02
0,4,2,-7.015303e-01,-5.649266e-01,-4.344114e-01
0,4,3,8.835745e-03,2.028050e-01,-9.791793e-01
0,4,4,1.422864e-01,-7.622474e-01,6.314535e-01
0,4,5,3.853215e-01,-7.675586e-01,5.122316e-01
0,4,6,2.141593e-01,-9.393540e-01,-2.678617e-01
0,4,7,-2.153476e-01,-9.719886e-01,9.414671e-02
0,4,8,3.860431e-01,-8.801106e-01,2.763622e-01
0,4,9,7.698233e-01,6.344317e-01,-6.977506e-02
0,5,0,-1.733659e-01,7.952315e-01,-5.809914e-01
0,5,1,1.399323e-01,-9.523257e-01,2.710991e-01
0,5,2,-1.870018e-01,-9.820460e-01,-2.482054e-02
0,5,3,-1.485039e-02,9.312577e-01,-3.640583e-01
0,5,4,2.741710e-01,3.962564e-01,8.762483e-01
0,5,5,-3.625624e-01,7.409639e-01,-5.652620e-01
0,5,6,4.268744e-01,9.042756e-01,-7.986305e-03
0,5,7,-4.646643e-01,8.242251e-01,-3.236357e-01
0,5,8,-3.598884e-01,9.120367e-01,-1.966451e-01
0,5,9,1.033040e-01,-8.607617e-01,4.984150e-01
0,6,0,-7.758051e-03,9.952528e-01,-9.701332e-02
0,6,1,-6.990188e-02,9.829532e-01,-1.700490e-01
0,6,2,-2.418377e-01,8.445029e-01,-4.778383e-01
0,6,3,7.477909e-01,-6.590545e-01,8.034921e-02
0,6,4,4.409618e-01,8.773555e-01,1.892089e-01
0,6,5,1.446100e-01,-7.655852e-01,6.268711e-01
0,6,6,-6.849755e-01,-2.137265e-01,6.965124e-01
0,6,7,-2.812101e-01,6.270235e-01,-7.264726e-01
0,6,8,-2.630933e-01,7.909568e-01,-5.524212e-01
0,6,9,-2.910773e-01,7.963031e-01,-5.302597e-01
