i,j,k,nx,ny,nz 
0,0,0,-1.076761e-01,-3.565515e-01,9.280500e-01
0,0,1,7.466191e-02,-5.091128e-01,8.574554e-01
0,0,2,-3.221428e-02,-4.645565e-01,8.849574e-01
0,0,3,-7.754577e-02,-4.024324e-01,9.121594e-01
0,0,4,-2.048549e-01,-5.741966e-01,7.926744e-01
0,0,5,-1.834726e-01,-3.765415e-01,9.080497e-01
0,0,6,-2.304856e-01,-4.493414e-01,8.631157e-01
0,0,7,3.003500e-02,-5.837739e-01,8.113606e-01
0,0,8,-2.752556e-01,-2.930988e-01,9.156022e-01
0,0,9,-3.008000e-01,-3.767454e-01,8.761177e-01
0,1,0,-1.565930e-01,-5.071479e-01,8.475138e-01
0,1,1,-3.614528e-03,-5.539438e-01,8.325462e-01
0,1,2,-2.525730e-01,-4.994730e-01,8.286939e-01
0,1,3,-3.177205e-01,-4.086432e-01,8.556076e-01
0,1,4,-2.057195e-01,-5.847970e-01,7.846604e-01
0,1,5,-2.434754e-01,-5.216251e-01,8.176961e-01
0,1,6,-1.590531e-01,-4.939815e-01,8.548008e-01
0,1,7,-2.163982e-01,-5.152911e-01,8.292448e-01
0,1,8,-2.117030e-01,-3.816523e-01,8.997352e-01
0,1,9,8.297070e-02,-3.511508e-01,9.326355e-01
0,2,0,5.309511e-02,-6.302571e-01,7.745689e-01
0,2,1,-2.541321e-02,-5.390536e-01,8.418880e-01
0,2,2,-1.037846e-01,-5.913600e-01,7.997013e-01
0,2,3,-1.818934e-01,-6.640139e-01,7.252588e-01
0,2,4,-3.501817e-01,-3.376586e-01,8.737044e-01
0,2,5,-3.088063e-01,-4.140414e-01,8.562759e-01
0,2,6,-7.128018e-02,-1.722627e-01,9.824687e-01
0,2,7,-2.236641e-01,-4.389472e-01,8.702297e-01
0,2,8,7.240188e-02,-1.244732e-01,9.895779e-01
0,2,9,-7.092441e-02,-2.644597e-01,9.617852e-01
0,3,0,7.887260e-02,-1.765867e-01,9.811199e-01
0,3,1,-1.705270e-01,-4.128897e-01,8.946746e-01
0,3,2,-2.353331e-01,-4.480592e-01,8.624739e-01
0,3,3,-2.086310e-01,-4.687124e-01,8.583599e-01
0,3,4,-3.595429e-01,-5.025782e-01,7.862214e-01
0,3,5,-2.371129e-01,-5.470082e-01,8.028446e-01
0,3,6,-1.191275e-01,-3.211810e-01,9.394953e-01
0,3,7,-2.866080e-01,-3.624295e-01,8.868487e-01
0,3,8,-2.296557e-01,-3.243492e-01,9.176360e-01
0,3,9,-1.682194e-01,-3.259217e-01,9.303103e-01
0,4,0,-1.389430e-02,-1.889199e-01,9.818942e-01
0,4,1,-2.700894e-01,-3.437129e-01,8.993960e-01
0,4,2,-1.613917e-01,-4.987553e-01,8.515843e-01
0,4,3,-4.272932e-01,-5.178189e-01,7.411370e-01
0,4,4,-4.185291e-02,-4.364389e-01,8.987599e-01
0,4,5,-7.903423e-02,-5.031951e-01,8.605511e-01
0,4,6,-6.247985e-02,-5.570680e-01,8.281132e-01
0,4,7,-3.548904e-01,-4.898932e-01,7.962772e-01
0,4,8,-1.302976e-01,-4.620718e-01,8.772184e-01
0,4,9,1.912067e-01,-1.377320e-01,9.718384e-01
0,5,0,-1.182557e-01,-3.623335e-01,9.245161e-01
0,5,1,-1.435690e-01,-5.466058e-01,8.249909e-01
0,5,2,-2.160908e-01,-5.382992e-01,8.145789e-01
0,5,3,1.044212e-01,-5.080938e-01,8.549485e-01
0,5,4,-1.598694e-01,-3.312717e-01,9.298929e-01
0,5,5,-1.189315e-01,-2.868863e-01,9.505533e-01
0,5,6,-1.544815e-01,-4.234373e-01,8.926569e-01
0,5,7,-1.724870e-01,-9.414508e-02,9.805024e-01
0,5,8,-3.811880e-02,-4.010134e-01,9.152787e-01
0,5,9,-5.894290e-02,-4.488798e-01,8.916460e-01
0,6,0,-3.521591e-02,-2.590078e-01,9.652330e-01
0,6,1,-4.029186e-01,-3.574758e-01,8.425364e-01
