i,j,k,nx,ny,nz 
0,0,0,-4.256486e-01,8.175976e-01,3.877595e-01
0,0,1,8.871766e-01,2.067881e-01,-4.125002e-01
0,0,2,9.344413e-01,-2.926238e-01,-2.029552e-01
0,0,3,8.735858e-01,-3.463172e-01,-3.419243e-01
0,0,4,-7.651818e-01,2.538423e-01,5.916595e-01
0,0,5,-5.139345e-03,-2.402681e-01,-9.706930e-01
0,0,6,-1.321079e-01,3.320303e-01,-9.339718e-01
0,0,7,-2.449617e-01,-8.824587e-01,4.015724e-01
0,0,8,5.052100e-01,-5.830841e-01,6.362199e-01
0,0,9,6.762835e-01,-7.299410e-01,9.912970e-02
0,1,0,2.147255e-01,-9.765106e-01,1.789122e-02
0,1,1,9.539388e-01,-1.292849e-01,2.707144e-01
0,1,2,-8.346982e-01,4.426151e-01,-3.276750e-01
0,1,3,-4.435202e-01,8.749835e-01,1.941489e-01
0,1,4,8.687665e-01,-4.754149e-01,-1.386559e-01
0,1,5,-9.685564e-01,-6.485989e-02,-2.401909e-01
0,1,6,8.459307e-03,-3.883896e-01,-9.214564e-01
0,1,7,3.441564e-01,9.388313e-01,-1.233916e-02
0,1,8,-2.745063e-01,-3.633668e-01,-8.902869e-01
0,1,9,6.664946e-01,-7.170471e-01,2.040304e-01
0,2,0,2.172685e-01,8.718577e-01,-4.389290e-01
0,2,1,3.986224e-01,-2.419580e-02,9.167959e-01
0,2,2,-2.804139e-01,1.829030e-01,-9.422922e-01
0,2,3,4.493960e-01,-8.551450e-01,-2.583993e-01
0,2,4,1.401997e-01,-2.884376e-01,-9.471788e-01
0,2,5,8.438883e-02,8.539536e-02,9.927669e-01
0,2,6,-9.474499e-01,-2.111436e-01,-2.403269e-01
0,2,7,1.804939e-01,2.471712e-01,9.520128e-01
0,2,8,-9.442560e-01,1.047434e-01,-3.121049e-01
0,2,9,1.657206e-01,-3.072462e-01,9.370893e-01
0,3,0,-2.334458e-01,-6.754747e-01,6.994548e-01
0,3,1,-6.210707e-01,5.414371e-01,-5.666719e-01
0,3,2,-4.412551e-01,1.760912e-01,-8.799351e-01
0,3,3,-9.305795e-01,-3.015558e-01,-2.075713e-01
0,3,4,-7.466341e-01,6.647078e-01,2.647676e-02
0,3,5,-7.507102e-02,5.125084e-01,-8.553943e-01
0,3,6,3.655376e-01,3.970827e-01,-8.418477e-01
0,3,7,-3.181847e-01,-8.944030e-01,3.143276e-01
0,3,8,9.542335e-02,9.536947e-01,2.852383e-01
0,3,9,6.446963e-01,4.844673e-02,7.629021e-01
0,4,0,-7.011338e-01,6.434710e-01,-3.071751e-01
0,4,1,-8.878364e-01,1.392201e-01,-4.385936e-01
0,4,2,4.324595e-01,-5.584972e-01,7.078557e-01
0,4,3,-1.205997e-01,-6.684885e-01,-7.338793e-01
0,4,4,8.806424e-01,4.028151e-01,-2.494173e-01
0,4,5,-4.953942e-01,-8.231010e-02,8.647599e-01
0,4,6,-7.574811e-01,-1.610097e-01,6.326912e-01
0,4,7,7.748757e-01,6.054089e-01,-1.817904e-01
0,4,8,5.157546e-02,-8.925137e-01,4.480617e-01
0,4,9,4.764885e-01,-2.563363e-01,8.409818e-01
0,5,0,-8.460289e-01,5.251213e-01,-9.210207e-02
0,5,1,-9.445809e-01,1.716173e-01,-2.798471e-01
0,5,2,5.586812e-02,5.095100e-01,-8.586491e-01
