i,j,k,nx,ny,nz 
0,0,0,6.066732e-01,9.142039e-02,-7.896771e-01
0,0,1,-1.365459e-01,-1.430928e-01,9.802447e-01
0,0,2,-3.846102e-01,-5.211880e-02,9.216066e-01
0,0,3,-4.664108e-01,6.984583e-02,8.818064e-01
0,0,4,-2.144870e-01,-1.330206e-01,9.676264e-01
0,0,5,2.890103e-01,4.070283e-01,-8.664878e-01
0,0,6,2.829010e-02,2.837813e-01,-9.584716e-01
0,0,7,-2.315111e-01,-2.620091e-01,9.368852e-01
0,0,8,-1.993254e-01,4.753503e-01,8.569198e-01
0,0,9,-4.645041e-01,-1.763799e-01,8.678284e-01
0,1,0,-3.857556e-01,-3.347660e-01,8.597234e-01
0,1,1,-1.011062e-01,-3.795692e-01,9.196221e-01
0,1,2,-4.997022e-01,-4.239769e-01,7.553418e-01
0,1,3,4.515353e-01,2.330460e-01,-8.612813e-01
0,1,4,-6.092615e-01,-2.261744e-01,7.600300e-01
0,1,5,-2.103494e-01,-2.622331e-01,9.417998e-01
0,1,6,-3.472398e-02,-3.133332e-01,9.490082e-01
0,1,7,-1.200285e-02,1.748434e-02,9.997751e-01
0,1,8,-1.770993e-01,5.025563e-02,9.829091e-01
0,1,9,-4.122745e-01,-3.731117e-01,8.311543e-01
0,2,0,5.113666e-01,-7.654796e-02,-8.559466e-01
0,2,1,-3.957099e-01,-3.267602e-01,8.582782e-01
0,2,2,-5.411275e-01,-1.107689e-01,8.336134e-01
0,2,3,-5.719722e-01,-3.413205e-01,7.458875e-01
0,2,4,-3.837016e-01,-1.751965e-01,9.066859e-01
0,2,5,-4.405803e-01,-2.185263e-01,8.707096e-01
0,2,6,-3.095798e-01,-2.095475e-01,9.274967e-01
0,2,7,-4.657471e-01,8.930972e-02,8.803996e-01
0,2,8,-3.246016e-01,-1.852053e-01,9.275413e-01
0,2,9,-4.176520e-01,-1.860397e-01,8.893571e-01
0,3,0,-1.607776e-01,-2.193252e-02,9.867469e-01
0,3,1,-4.583054e-01,-3.465512e-01,8.184488e-01
0,3,2,-5.458329e-01,-3.833937e-03,8.378853e-01
0,3,3,-3.930194e-01,-1.793145e-01,9.018770e-01
0,3,4,-5.200517e-01,-2.367324e-01,8.206729e-01
0,3,5,-4.106261e-01,-3.437378e-01,8.445298e-01
0,3,6,3.886707e-03,-3.553289e-01,9.347333e-01
0,3,7,3.360475e-02,-1.781487e-01,9.834296e-01
0,3,8,-1.731099e-01,-3.051746e-01,9.364302e-01
0,3,9,-1.835727e-01,3.687016e-02,9.823144e-01
0,4,0,-3.574096e-01,-3.775850e-01,8.542178e-01
0,4,1,4.759380e-01,5.725373e-01,-6.675958e-01
0,4,2,-7.171129e-01,-4.625471e-01,5.213436e-01
0,4,3,-4.338449e-01,-2.662683e-01,8.607438e-01
0,4,4,-2.317836e-01,-4.468136e-01,8.640798e-01
0,4,5,-6.049278e-01,-4.374631e-01,6.653483e-01
0,4,6,-2.275600e-01,-2.256189e-01,9.472658e-01
0,4,7,-3.161194e-01,-1.394258e-01,9.384183e-01
0,4,8,-2.415508e-01,-1.709761e-01,9.552070e-01
0,4,9,-3.699139e-01,-2.253499e-01,9.013219e-01
0,5,0,-6.350011e-02,-3.871617e-01,9.198226e-01
0,5,1,-4.555007e-01,-3.833185e-01,8.034837e-01
0,5,2,-5.320678e-01,-1.467935e-01,8.338798e-01
0,5,3,3.577580e-01,3.157846e-01,-8.787999e-01
0,5,4,-2.559966e-01,1.483120e-01,9.552326e-01
0,5,5,-3.416404e-01,-3.837141e-01,8.579308e-01
0,5,6,-1.366671e-01,-5.091022e-01,8.497865e-01
0,5,7,-3.325829e-01,-2.022217e-01,9.211379e-01
0,5,8,-2.238857e-01,-8.030385e-02,9.713014e-01
0,5,9,-2.825071e-01,-1.854050e-01,9.411773e-01
0,6,0,-2.899103e-01,-3.103982e-01,9.053204e-01
0,6,1,-4.304883e-01,-2.448142e-01,8.687611e-01
0,6,2,-3.069023e-01,-6.297745e-02,9.496551e-01
0,6,3,-1.013837e-01,-1.119510e-01,9.885284e-01
0,6,4,3.296990e-01,2.592738e-01,-9.077861e-01
0,6,5,-1.105850e-01,-2.336678e-01,9.660074e-01
0,6,6,-2.026750e-01,-7.369766e-02,9.764689e-01
0,6,7,-3.588240e-01,-1.149307e-02,9.333345e-01
0,6,8,-4.150847e-01,1.524644e-01,8.969166e-01
0,6,9,-8.839490e-02,-3.497107e-01,9.326783e-01
0,7,0,-6.408143e-01,-1.676349e-01,7.491699e-01
0,7,1,-6.195179e-02,-4.649027e-01,8.831916e-01
0,7,2,-2.380797e-01,-8.838673e-02,9.672155e-01
0,7,3,-1.421540e-01,4.330800e-02,9.888967e-01
0,7,4,-4.080581e-02,-1.792546e-01,9.829561e-01
0,7,5,-5.144145e-01,-2.180730e-01,8.293503e-01
0,7,6,-1.757879e-01,-2.369434e-01,9.554875e-01
0,7,7,-2.802276e-01,-2.082252e-01,9.370778e-01
0,7,8,-4.727892e-01,-1.137661e-01,8.738007e-01
0,7,9,-2.609615e-01,-2.829067e-01,9.229642e-01
0,8,0,-2.062648e-01,-2.978965e-01,9.320475e-01
0,8,1,-1.839126e-01,-2.936911e-01,9.380414e-01
0,8,2,-1.901350e-01,-9.890947e-02,9.767628e-01
0,8,3,-2.909686e-01,1.130926e-02,9.566658e-01
0,8,4,2.692056e-01,4.066560e-01,-8.730173e-01
0,8,5,-3.330892e-01,1.782295e-01,9.258973e-01
0,8,6,-5.264945e-01,-2.695182e-01,8.063272e-01
0,8,7,-2.007059e-01,-1.405219e-02,9.795508e-01
0,8,8,-1.252824e-02,4.012234e-02,9.991162e-01
