i,j,k,nx,ny,nz 
0,0,0,-4.061298e-01,7.273339e-02,9.109163e-01
0,0,1,3.632732e-01,-7.056931e-01,-6.083007e-01
0,0,2,-4.140407e-01,9.086845e-01,5.350547e-02
0,0,3,7.365600e-01,-1.176665e-01,-6.660585e-01
0,0,4,6.041839e-01,-2.774853e-01,-7.469697e-01
0,0,5,-7.557966e-01,-3.670580e-01,5.422545e-01
0,0,6,-3.873258e-01,-5.947816e-02,9.200223e-01
0,0,7,-3.918685e-01,-6.523344e-01,6.487672e-01
0,0,8,3.933503e-01,7.885283e-01,-4.727565e-01
0,0,9,7.237809e-01,-2.267546e-01,6.517082e-01
0,0,10,-4.373565e-02,-4.847161e-02,9.978666e-01
0,0,11,5.122615e-01,3.949021e-01,-7.626536e-01
0,0,12,5.149432e-01,-4.921166e-02,8.558106e-01
0,0,13,-3.429385e-01,-9.352951e-01,8.727066e-02
0,0,14,2.502109e-01,-6.312320e-02,-9.661315e-01
0,0,15,1.389045e-01,4.155652e-02,9.894335e-01
0,0,16,-6.294345e-01,-4.613113e-01,6.253032e-01
0,0,17,1.470165e-01,9.849631e-01,9.074073e-02
0,0,18,8.894488e-01,-1.157493e-02,4.568883e-01
0,0,19,8.963479e-01,2.246283e-01,-3.822337e-01
0,1,0,4.491506e-01,5.819736e-01,-6.779163e-01
0,1,1,-3.672325e-01,1.004915e-01,9.246847e-01
0,1,2,-6.694384e-01,3.290730e-01,-6.660053e-01
0,1,3,-7.382987e-01,3.627945e-01,-5.685905e-01
0,1,4,-3.990667e-02,4.128405e-01,-9.099287e-01
0,1,5,7.912084e-01,5.544847e-01,-2.579456e-01
0,1,6,-6.697882e-01,3.454917e-02,7.417480e-01
0,1,7,6.427614e-01,-5.572229e-02,-7.640372e-01
0,1,8,-7.874670e-01,5.729480e-01,-2.272144e-01
0,1,9,4.227873e-02,-9.800718e-01,1.940921e-01
0,1,10,-3.658897e-01,-6.797427e-01,6.356686e-01
0,1,11,7.704381e-01,-4.568027e-02,6.358762e-01
0,1,12,1.534461e-01,3.117630e-02,-9.876651e-01
0,1,13,3.255681e-01,9.443347e-01,-4.730041e-02
0,1,14,-4.687535e-01,-8.791297e-02,8.789434e-01
0,1,15,1.164876e-01,6.182554e-01,-7.772972e-01
0,1,16,7.501902e-01,6.601440e-01,-3.774331e-02
0,1,17,7.539566e-01,3.132943e-01,-5.774047e-01
0,1,18,-2.386736e-01,2.683955e-01,9.332732e-01
0,1,19,6.210116e-01,6.276053e-01,-4.695276e-01
0,2,0,-3.558563e-01,-9.112388e-01,2.073889e-01
0,2,1,5.505254e-01,7.306772e-01,-4.037728e-01
0,2,2,-3.971557e-01,7.274555e-01,-5.595318e-01
0,2,3,-8.175203e-01,-1.305569e-01,-5.609059e-01
0,2,4,9.123313e-01,3.498592e-01,-2.127206e-01
0,2,5,9.070195e-01,4.160131e-01,-6.518243e-02
0,2,6,-2.344362e-01,-8.076482e-01,-5.410583e-01
0,2,7,-3.282627e-01,1.740602e-01,9.284108e-01
0,2,8,-2.338867e-01,3.439524e-01,-9.093920e-01
0,2,9,1.140863e-01,-9.923770e-01,4.660646e-02
0,2,10,-8.253140e-01,2.121284e-01,-5.233147e-01
0,2,11,-9.382722e-01,5.105218e-02,3.421096e-01
0,2,12,-2.667976e-01,-4.846938e-01,8.330011e-01
0,2,13,2.706666e-01,-6.271412e-01,7.303653e-01
0,2,14,-1.652734e-01,2.000779e-01,-9.657399e-01
0,2,15,-1.421379e-01,-3.013513e-01,9.428596e-01
0,2,16,6.690309e-01,1.093757e-01,-7.351426e-01
0,2,17,-6.262384e-01,-4.814114e-01,6.132443e-01
0,2,18,9.701540e-01,1.570488e-01,-1.847618e-01
0,2,19,-9.047556e-01,1.082996e-01,-4.119327e-01
0,3,0,-3.981494e-01,-9.128911e-01,-9.003787e-02
0,3,1,1.633086e-01,-8.265925e-01,5.385863e-01
0,3,2,4.018278e-01,-5.805729e-01,7.081451e-01
0,3,3,5.981052e-01,-7.407073e-01,3.059785e-01
0,3,4,-3.543295e-01,-6.649762e-01,6.574627e-01
0,3,5,7.671230e-01,6.409909e-01,2.555376e-02
0,3,6,8.292199e-01,1.709704e-01,5.321311e-01
0,3,7,3.192591e-01,2.964010e-01,-9.001223e-01
0,3,8,3.117969e-01,5.969083e-01,7.392450e-01
