i,j,k,nx,ny,nz 
0,0,0,-2.858291e-01,-8.877224e-02,-9.541600e-01
0,0,1,9.592830e-02,-1.762466e-01,9.796606e-01
0,0,2,-3.299698e-01,-2.454442e-01,9.115246e-01
0,0,3,-3.522353e-01,-1.821663e-01,9.180118e-01
0,0,4,-3.503796e-01,2.385674e-01,9.057150e-01
0,0,5,-6.821189e-02,-3.732562e-02,9.969724e-01
0,0,6,-2.319558e-01,1.086671e-01,9.666375e-01
0,0,7,-1.854500e-01,4.611560e-01,8.677231e-01
0,0,8,-1.057881e-01,-1.098476e-01,-9.883028e-01
0,0,9,-1.785421e-01,2.243720e-01,9.580083e-01
0,0,10,2.184736e-01,-1.467803e-01,9.647408e-01
0,0,11,2.003383e-01,4.627654e-02,9.786333e-01
0,0,12,-6.093786e-02,-6.421079e-02,9.960741e-01
0,0,13,-2.923166e-02,-6.418085e-02,9.975101e-01
0,0,14,5.155357e-01,1.705239e-02,-8.566984e-01
0,0,15,5.106434e-02,3.161180e-03,9.986904e-01
0,0,16,3.450710e-02,2.080487e-01,9.775096e-01
0,0,17,8.155140e-02,1.592458e-02,9.965419e-01
0,0,18,4.893419e-02,3.098824e-01,9.495148e-01
0,0,19,-2.909173e-01,6.113840e-02,-9.547928e-01
0,0,20,2.384232e-01,1.606285e-01,9.577854e-01
0,0,21,8.267199e-02,-5.487470e-02,9.950649e-01
0,0,22,-3.031031e-01,1.715995e-01,9.373805e-01
0,0,23,-3.166261e-01,3.490554e-01,8.819911e-01
0,0,24,2.414804e-01,-8.874222e-02,9.663395e-01
0,0,25,1.258070e-02,5.979541e-02,9.981314e-01
0,0,26,1.649719e-01,5.906785e-02,9.845279e-01
0,0,27,3.372306e-01,-8.731608e-02,9.373641e-01
0,0,28,2.633592e-01,3.857192e-02,9.639264e-01
0,0,29,4.003348e-01,1.736967e-01,8.997564e-01
0,0,30,2.638806e-01,7.844143e-02,9.613605e-01
0,0,31,8.148963e-02,2.320661e-01,9.692805e-01
0,0,32,-2.105888e-01,6.258984e-02,-9.755690e-01
0,0,33,2.213454e-01,-1.833160e-01,9.578108e-01
0,0,34,5.781517e-02,-2.912170e-01,9.549084e-01
0,0,35,-1.996335e-01,-2.555834e-01,9.459512e-01
0,0,36,-5.459986e-02,1.908559e-01,9.800984e-01
0,0,37,-1.648918e-01,-2.448418e-02,-9.860077e-01
0,0,38,-7.515106e-02,-1.572529e-01,9.846948e-01
