i,j,k,nx,ny,nz 
0,0,0,-1.515167e-01,-6.568521e-01,7.386393e-01
0,0,1,2.209538e-01,5.228781e-01,-8.232727e-01
0,0,2,-4.231834e-02,-4.810833e-01,8.756529e-01
0,0,3,-8.054871e-01,-5.283948e-01,-2.683085e-01
0,0,4,-5.489228e-01,2.756629e-01,-7.891094e-01
0,0,5,-3.032341e-01,-4.458095e-01,8.422013e-01
0,0,6,-9.639723e-01,-2.651371e-01,-2.144256e-02
0,0,7,5.669744e-01,-3.012085e-01,-7.666900e-01
0,0,8,7.350361e-01,5.219251e-01,4.328004e-01
0,0,9,-2.130050e-01,-2.638836e-01,-9.407414e-01
0,0,10,1.235847e-01,6.859833e-02,-9.899602e-01
0,0,11,-9.850666e-01,5.705811e-02,1.624443e-01
0,0,12,-9.311435e-01,-3.600533e-01,5.773555e-02
0,0,13,-7.822316e-01,2.810806e-01,-5.559743e-01
0,0,14,-4.158067e-01,-8.084238e-01,4.166002e-01
0,0,15,1.033235e-01,1.925145e-01,9.758394e-01
0,0,16,-8.801690e-01,3.207238e-01,3.499124e-01
0,0,17,9.670644e-01,-2.506998e-01,4.399981e-02
0,0,18,-2.936789e-01,-6.964510e-01,-6.547585e-01
0,0,19,7.425502e-01,5.226763e-01,-4.188420e-01
0,1,0,5.547952e-01,5.135241e-01,-6.545956e-01
0,1,1,-4.623886e-01,-3.689769e-01,8.062585e-01
0,1,2,-2.479748e-01,2.060322e-01,9.466041e-01
0,1,3,8.390493e-01,-2.816048e-01,-4.655050e-01
0,1,4,-5.364137e-01,-6.537592e-01,5.337221e-01
0,1,5,-6.099659e-01,-3.725683e-03,7.924189e-01
0,1,6,4.117403e-01,2.453309e-01,-8.776575e-01
0,1,7,9.997874e-01,-2.045585e-02,-2.574602e-03
0,1,8,-9.623615e-01,2.181240e-01,-1.621178e-01
0,1,9,8.922646e-01,-1.255469e-01,4.337071e-01
0,1,10,-9.348783e-02,8.546347e-01,5.107442e-01
0,1,11,2.205003e-01,4.415552e-01,8.697176e-01
0,1,12,9.569415e-01,2.445105e-01,-1.564529e-01
0,1,13,2.504734e-01,-8.910559e-01,-3.785266e-01
0,1,14,-7.031408e-01,4.903650e-01,5.149128e-01
0,1,15,8.254761e-02,-3.729879e-02,-9.958889e-01
0,1,16,3.928748e-01,-4.960236e-01,-7.743448e-01
0,1,17,-2.405099e-01,-1.858361e-01,-9.526909e-01
0,1,18,-2.117044e-02,3.359400e-01,9.416454e-01
0,1,19,6.295510e-01,5.349756e-01,-5.634417e-01
0,2,0,5.157283e-01,5.993285e-01,-6.122333e-01
0,2,1,9.591064e-01,-9.103799e-02,-2.680058e-01
0,2,2,-3.431790e-01,1.346859e-01,9.295633e-01
0,2,3,-7.752049e-01,-4.459804e-01,4.473911e-01
0,2,4,8.015450e-01,5.785191e-01,-1.511333e-01
0,2,5,5.285610e-01,6.317018e-01,5.670768e-01
0,2,6,8.396157e-01,-9.303473e-02,-5.351542e-01
0,2,7,-7.766351e-01,-4.193129e-01,4.701219e-01
0,2,8,-7.142023e-01,6.894827e-02,6.965351e-01
0,2,9,-2.448308e-01,3.014682e-01,-9.215068e-01
0,2,10,7.793415e-01,4.673497e-01,4.173859e-01
0,2,11,-9.107604e-01,-2.751840e-01,-3.078786e-01
0,2,12,6.336134e-01,7.366814e-01,2.362934e-01
0,2,13,-4.506405e-01,-8.920275e-01,3.478763e-02
0,2,14,-8.718027e-01,3.705348e-01,3.204122e-01
0,2,15,-2.436893e-01,7.990952e-01,-5.496021e-01
0,2,16,3.183746e-01,-8.223632e-02,-9.443912e-01
0,2,17,-5.523477e-01,9.793367e-02,8.278412e-01
0,2,18,2.751154e-01,1.265907e-01,-9.530406e-01
0,2,19,5.802588e-01,7.353628e-01,-3.500590e-01
0,3,0,-3.412504e-01,-8.901807e-01,3.018716e-01
0,3,1,-7.844273e-01,-6.141398e-01,8.663822e-02
0,3,2,-8.040498e-03,2.925384e-01,9.562200e-01
0,3,3,-7.791571e-01,1.989672e-01,5.944125e-01
0,3,4,9.124555e-01,4.033047e-01,-6.906761e-02
0,3,5,-3.512572e-01,9.246303e-01,-1.472319e-01
0,3,6,9.848426e-01,-1.733855e-01,-4.745015e-03
0,3,7,-3.781095e-02,-9.834366e-01,-1.772649e-01
0,3,8,6.278136e-01,-5.482360e-01,5.525282e-01
0,3,9,-5.769385e-01,3.300904e-01,-7.471160e-01
0,3,10,8.933747e-02,9.240760e-02,9.917054e-01
0,3,11,-7.807504e-02,7.706799e-01,6.324214e-01
0,3,12,2.326398e-01,9.699654e-01,7.103429e-02
0,3,13,-1.956117e-01,-9.216700e-01,3.350529e-01
0,3,14,5.825505e-01,7.521368e-01,-3.080993e-01
0,3,15,3.471866e-01,-4.881115e-01,8.007550e-01
0,3,16,9.946924e-01,-9.673256e-02,-3.506810e-02
0,3,17,-1.880153e-01,-1.811988e-01,9.653068e-01
0,3,18,4.971294e-02,5.700603e-01,-8.200975e-01
0,3,19,3.293370e-01,1.785012e-02,-9.440437e-01
0,4,0,-1.760565e-01,-9.249365e-01,-3.368926e-01
0,4,1,-1.090053e-01,-7.973253e-01,-5.936247e-01
0,4,2,-7.999205e-03,5.614310e-01,-8.274849e-01
0,4,3,-2.599895e-01,-6.110784e-02,-9.636759e-01
0,4,4,-6.731636e-01,6.990785e-01,-2.411225e-01
0,4,5,-4.561552e-01,2.233474e-01,-8.614165e-01
0,4,6,5.171819e-01,8.412511e-01,1.575418e-01
0,4,7,-6.154087e-01,-3.610526e-01,-7.006519e-01
0,4,8,5.515143e-01,5.563851e-01,6.215044e-01
0,4,9,6.642155e-01,5.159446e-01,5.409426e-01
